SKU,Description,Fixed MSRP,Component1,Component Description,Componenet FOB,Component MSRP ,Component2,Component Description,Componenet FOB,Component MSRP 
SB-W2442,"Shaker Sage Breeze - Wall Cabinet - 24""W x 42""H x 12""D - 2D -3S",539,SB-DS-W2442,Door Set SB-W2442,37.48741287,292,UBX-W2442/WBC2442,Cabinet Box for W2442/WBC2442,31.60021396,247
SB-W2442GD,"Shaker Sage Breeze - Wall Glass Door Cabinet - 24""W x 42""H x 12""D - 2D -3S",589,SB-DS-W2442GD,Door Set SB-W2442GD,38.70370057,342,UBX-W2442/WBC2442,Cabinet Box for W2442/WBC2442,31.60021396,247
SB-W2712GD,"Shaker Sage Breeze - Wall Cabinet - 27""W x 12""H x 12""D - 2D",224,SB-DS-W2712GD,Door Set SB-W2712GD,16.80642337,128,UBX-W2712,Cabinet Box for W2712,12.4201489,96
SB-W2730,"Shaker Sage Breeze - Wall Cabinet - 27""W x 30""H x 12""D - 2D -2S",431,SB-DS-BFH27/W2730,Door Set SB-BFH27/W2730,29.55042049,229,UBX-W2730/WBC2730,Cabinet Box for W2730/WBC2730,26.04804656,202
SB-W2736,"Shaker Sage Breeze - Wall Cabinet - 27""W x 36""H x 12""D - 2D -2S",498,SB-DS-W2736,Door Set SB-W2736,33.87062154,269,UBX-W2736/WBC2736,Cabinet Box for W2736/WBC2736,28.65267828,229
SB-W2742,"Shaker Sage Breeze - Wall Cabinet - 27""W x 42""H x 12""D - 2D -3S",555,SB-DS-W2742,Door Set SB-W2742,40.06723452,298,UBX-W2742/WBC2742,Cabinet Box for W2742/WBC2742,34.34922746,257
SB-W3012,"Shaker Sage Breeze - Wall Cabinet - 30""W x 12""H x 12""D - 2D",261,SB-DS-W3012/W301224,Door Set SB-W3012/W301224,17.70448423,148,UBX-W3012,Cabinet Box for W3012,13.32893616,113
SB-W301224,"Shaker Sage Breeze - Wall Refrigerator Cabinet-30""W x 12""H x 24""D - 2D",332,SB-DS-W3012/W301224,Door Set SB-W3012/W301224,17.70448423,148,UBX-W301224,Cabinet Box for W301224,22.86375836,184
SB-W3012GD,"Shaker Sage Breeze - Wall Glass Door Cabinet - 30""W x 12""H x 12""D - 2D",282,SB-DS-W3012GD,Door Set SB-W3012GD,17.99449365,169,UBX-W3012,Cabinet Box for W3012,13.32893616,113
SB-W3015,"Shaker Sage Breeze - Wall Cabinet - 30""W x 15""H x 12""D - 2D",293,SB-DS-W3015/W301524,Door Set SB-W3015/W301524,20.00788089,168,UBX-W3015,Cabinet Box for W3015,14.71891246,125
SB-W301524,"Shaker Sage Breeze - Wall Refrigerator Cabinet - 30""W x 15""H x 24""D - 2D",360,SB-DS-W3015/W301524,Door Set SB-W3015/W301524,20.00788089,168,UBX-W301524,Cabinet Box for W301524,24.49231137,192
SB-W3018,"Shaker Sage Breeze - Wall Cabinet - 30""W x 18""H x 12""D - 2D",322,SB-DS-W3018/W301824,Door Set SB-W3018/W301824,22.31127756,186,UBX-W3018,Cabinet Box for W3018,16.10888876,136
